model,scenario,category,netzero_co2_year,cum_co2_2020_2024_gt,cum_co2e_2020_2024_gt,ratio_2020_2024
REMIND 2.1,LeastTotalCost_CEA_brkLR15_SSP2_P50,C3,2079.4,186.709,257.035,1.3767
REMIND 2.1,LeastTotalCost_CEA_brkSR15_SSP2_P50,C3,,186.582,256.898,1.3769
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP2_P50,C3,2077.2,175.159,242.529,1.3846
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP5_P50,C3,2070.9,177.653,243.635,1.3714
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP2_P50,C3,2082.4,182.487,251.058,1.3758
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP5_P50,C3,2070.0,181.386,248.174,1.3682
REMIND 2.1,R2p1_SSP2-PkBudg1100,C3,2067.6,181.729,250.233,1.377
REMIND 2.1,R2p1_SSP2-PkBudg1300,C3,2097.2,185.076,254.223,1.3736
REMIND 2.1,R2p1_SSP5-PkBudg1300,C3,2085.3,185.757,252.691,1.3603
REMIND 2.1,TechCost-SSP2-B1100-bioH,C3,2066.3,182.555,251.29,1.3765
REMIND 2.1,TechCost-SSP2-B1100-ccsH,C3,2065.5,183.887,252.609,1.3737
REMIND 2.1,TechCost-SSP2-B1100-coalH,C3,2066.2,184.936,253.831,1.3725
REMIND 2.1,TechCost-SSP2-B1100-elh2H,C3,2070.1,183.597,252.37,1.3746
REMIND 2.1,TechCost-SSP2-B1100-gasH,C3,2066.8,183.09,251.905,1.3759
REMIND 2.1,TechCost-SSP2-B1100-nucH,C3,2067.0,183.235,251.933,1.3749
REMIND 2.1,TechCost-SSP2-B1100-oilH,C3,2067.1,184.14,252.567,1.3716
REMIND 2.1,TechCost-SSP2-B1100-spvH,C3,2067.0,182.582,251.298,1.3764
REMIND 2.1,TechCost-SSP2-B1100-windH,C3,2067.9,182.739,251.335,1.3754
REMIND-MAgPIE 1.5,SSP1-26,C4,2075.2,171.551,240.95,1.4045
REMIND-MAgPIE 1.5,SSP2-26,C3,2068.4,207.311,272.838,1.3161
REMIND-MAgPIE 1.5,SSP5-26,C4,2066.5,202.311,274.412,1.3564
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1600,C4,2081.3,212.65,282.874,1.3302
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NDC2030i_1000,C3,2058.1,212.65,282.874,1.3302
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1600,C4,2093.3,200.299,267.253,1.3343
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_cost100,C4,2081.4,208.211,270.66,1.2999
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_limbio,C3,2099.5,204.492,266.1,1.3013
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nobeccs,C4,,202.727,263.501,1.2998
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nofuel,C4,2081.4,208.477,270.91,1.2995
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_none,C4,,201.234,261.608,1.3
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_cost100,C3,2068.6,204.361,265.259,1.298
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_full,C3,2067.9,205.839,267.416,1.2992
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_limbio,C3,2068.6,196.571,256.221,1.3035
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nobeccs,C3,2097.5,191.389,249.672,1.3045
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nofuel,C3,2065.2,204.735,265.619,1.2974
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_none,C3,2090.2,187.105,244.781,1.3083
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_full,C3,2068.1,215.407,281.444,1.3066
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_none,C4,,215.385,281.397,1.3065
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_hybrid_def,C3,2075.6,199.191,278.487,1.3981
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,C3,2069.0,196.474,275.648,1.403
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_uniform-pricing_def,C3,2075.4,198.552,278.052,1.4004
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-fullCDR,C3,2085.9,183.684,252.905,1.3769
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-minCDR,C3,,179.612,248.203,1.3819
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000,C3,2086.2,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV,C3,2084.0,185.272,259.649,1.4014
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV_NDCp,C3,2089.4,184.817,258.871,1.4007
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_NDCp,C3,2084.4,196.952,271.863,1.3804
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f,C3,2081.6,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV,C3,2082.4,185.272,259.649,1.4014
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV_NDCp,C3,2083.8,184.817,258.871,1.4007
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_NDCp,C3,2081.9,196.952,271.863,1.3804
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200,C3,,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1200f,C3,,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1400,C4,,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1400f,C4,,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700,C3,2048.9,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700f,C3,2065.1,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800,C3,2054.9,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,C3,2068.2,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900,C3,2072.8,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900f,C3,2072.4,196.459,271.68,1.3829
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000,C3,,184.172,252.425,1.3706
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000_COV,C3,,173.564,241.265,1.3901
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f,C3,,184.062,252.277,1.3706
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f_COV,C3,2094.7,173.993,241.701,1.3891
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200,C3,,186.893,256.191,1.3708
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1200f,C3,,187.12,255.914,1.3676
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1400,C4,,188.744,258.628,1.3703
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1400f,C4,,188.744,258.628,1.3703
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600,C4,,190.286,261.222,1.3728
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1600f,C4,,190.286,261.222,1.3728
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700,C3,2072.0,176.982,244.013,1.3787
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700f,C3,2072.5,179.196,246.522,1.3757
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800,C3,2084.6,180.013,247.433,1.3745
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800f,C3,2079.4,180.695,248.194,1.3736
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900,C3,,182.533,250.456,1.3721
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900f,C3,2089.9,182.425,250.282,1.372
REMIND-MAgPIE 2.1-4.2,NGFS2_Delayed Transition,C3,2060.8,202.869,279.444,1.3775
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1100,C3,2095.9,194.392,265.713,1.3669
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1300,C3,,199.088,271.406,1.3632
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1300,C3,2072.1,203.227,276.466,1.3604
REMIND-Transport 2.1,Transport_Budg1100_Conv,C3,,178.051,245.371,1.3781
REMIND-Transport 2.1,Transport_Budg1100_Conv-LowD,C3,,179.0,246.588,1.3776
REMIND-Transport 2.1,Transport_Budg1100_ConvSyn,C3,2078.8,182.414,250.681,1.3742
REMIND-Transport 2.1,Transport_Budg1100_ElecPush,C3,,181.14,248.915,1.3742
REMIND-Transport 2.1,Transport_Budg1100_ElecPush-LowD,C3,,181.371,249.251,1.3743
REMIND-Transport 2.1,Transport_Budg1100_H2Push,C3,,179.259,246.818,1.3769
WITCH 5.0,CO_2Deg2020,C3,2075.0,156.082,210.178,1.3466
WITCH 5.0,CO_2Deg2030,C3,2065.4,186.303,253.397,1.3601
WITCH 5.0,CO_Bridge,C3,2074.3,190.597,243.097,1.2754
WITCH 5.0,EN_INDCi2030_1000,C3,2071.2,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_1000_NDCp,C3,2071.4,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_1000f,C3,2076.4,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_1000f_NDCp,C3,2076.6,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_1200,C4,2083.0,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_1200_NDCp,C4,2084.7,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_1200f,C4,2084.4,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_1200f_NDCp,C4,2084.8,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_1400,C4,2092.7,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_1400_NDCp,C4,2093.2,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_1400f,C4,2093.3,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_1400f_NDCp,C4,2092.9,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_600f,C3,2060.0,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_600f_NDCp,C3,2061.0,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_700f,C3,2064.0,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_700f_NDCp,C3,2065.0,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_800,C3,2057.5,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_800_NDCp,C3,2058.4,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_800f,C3,2067.5,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_800f_NDCp,C3,2068.9,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_900,C3,2065.5,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_900_NDCp,C3,2065.8,186.073,252.355,1.3562
WITCH 5.0,EN_INDCi2030_900f,C3,2071.8,184.469,250.464,1.3578
WITCH 5.0,EN_INDCi2030_900f_NDCp,C3,2072.7,186.073,252.355,1.3562
WITCH 5.0,EN_NPi2020_1000,C3,2081.8,159.191,214.151,1.3452
WITCH 5.0,EN_NPi2020_1000f,C3,2082.8,161.514,216.875,1.3428
WITCH 5.0,EN_NPi2020_1200,C4,2091.2,164.158,220.228,1.3416
WITCH 5.0,EN_NPi2020_1200f,C4,2090.2,165.128,221.377,1.3406
WITCH 5.0,EN_NPi2020_1400,C4,,168.607,225.659,1.3384
WITCH 5.0,EN_NPi2020_1400f,C4,,168.972,226.076,1.3379
WITCH 5.0,EN_NPi2020_1600,C4,,172.275,230.233,1.3364
WITCH 5.0,EN_NPi2020_1600f,C4,,172.561,230.59,1.3363
WITCH 5.0,EN_NPi2020_600,C3,2059.3,150.098,202.757,1.3508
WITCH 5.0,EN_NPi2020_600f,C3,2067.8,154.979,208.829,1.3475
WITCH 5.0,EN_NPi2020_700,C3,2065.3,152.955,206.249,1.3484
WITCH 5.0,EN_NPi2020_700f,C3,2071.4,156.556,210.803,1.3465
WITCH 5.0,EN_NPi2020_800,C3,2070.4,155.176,209.133,1.3477
WITCH 5.0,EN_NPi2020_800f,C3,2075.1,158.026,212.619,1.3455
WITCH 5.0,EN_NPi2020_900,C3,2076.7,157.041,211.461,1.3465
WITCH 5.0,EN_NPi2020_900f,C3,2079.0,159.502,214.486,1.3447
WITCH-GLOBIOM 4.4,CD-LINKS_INDC2030i_1600,C3,2087.4,195.191,265.18,1.3586
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1600,C3,2094.1,185.916,246.73,1.3271
