model,scenario,category,netzero_co2_year,cum_co2_2020_2024_gt,cum_co2e_2020_2024_gt,ratio_2020_2024
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-median,C1,2052.0,169.817,234.479,1.3808
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,C1,2068.1,174.418,239.907,1.3755
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,C1,2054.6,172.581,238.873,1.3841
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,C1,2053.1,175.321,242.387,1.3825
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,C1,2059.7,186.777,256.308,1.3723
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,C2,2060.0,198.649,270.654,1.3625
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,C1,2048.0,190.681,260.831,1.3679
WITCH 5.0,EN_INDCi2030_500f,C2,2056.7,184.469,250.464,1.3578
WITCH 5.0,EN_NPi2020_400f,C1,2060.6,151.304,204.094,1.3489
WITCH 5.0,EN_NPi2020_450,C1,2048.7,145.179,196.597,1.3542
WITCH 5.0,EN_NPi2020_450f,C1,2062.4,152.182,205.156,1.3481
WITCH 5.0,EN_NPi2020_500,C1,2052.8,147.702,199.558,1.3511
WITCH 5.0,EN_NPi2020_500f,C1,2064.1,153.469,206.817,1.3476
WITCH-GLOBIOM 3.1,SSP1-19,C1,2058.2,153.121,214.703,1.4022
WITCH-GLOBIOM 3.1,SSP4-19,C1,2059.6,163.124,225.595,1.383
WITCH-GLOBIOM 4.4,CD-LINKS_NDC2030i_1000,C2,2065.1,195.191,265.18,1.3586
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_1000,C1,2074.9,172.059,229.927,1.3363
WITCH-GLOBIOM 4.4,CD-LINKS_NPi2020_400,C1,2053.8,164.772,220.405,1.3376
