model,scenario,category,netzero_co2_year,cum_co2_gt,cum_co2e_gt,ratio
REMIND-MAgPIE 1.5,SSP1-26,C4,2075.2,1134.63,1682.78,1.4831
REMIND-MAgPIE 1.5,SSP2-26,C3,2068.4,1115.7,1606.39,1.4398
REMIND-MAgPIE 1.5,SSP5-26,C4,2066.5,1321.2,1847.21,1.3981
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1600,C4,2081.3,1243.8,1854.71,1.4912
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NDC2030i_1000,C3,2058.1,959.01,1367.1,1.4255
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1600,C4,2093.3,1212.27,1897.94,1.5656
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_cost100,C4,2081.4,1410.94,1988.63,1.4094
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_limbio,C3,2099.5,1206.29,1885.78,1.5633
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_nofuel,C4,2081.4,1311.76,1897.27,1.4463
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_cost100,C3,2068.6,1015.88,1478.67,1.4556
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_full,C3,2067.9,1006.05,1463.56,1.4548
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_limbio,C3,2068.6,703.46,1137.07,1.6164
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nobeccs,C3,2097.5,737.43,1394.31,1.8908
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_nofuel,C3,2065.2,897.96,1326.08,1.4768
REMIND-MAgPIE 1.7-3.0,EMF33_WB2C_none,C3,2090.2,625.79,1199.01,1.916
REMIND-MAgPIE 1.7-3.0,EMF33_tax_hi_full,C3,2068.1,1066.16,1533.91,1.4387
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_hybrid_def,C3,2075.6,973.03,1666.3,1.7125
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_no-transfer_def,C3,2069.0,981.3,1634.95,1.6661
REMIND-MAgPIE 2.0-4.1,Diff_1300Gt_uniform-pricing_def,C3,2075.4,965.3,1641.2,1.7002
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-2C-fullCDR,C3,2085.9,932.63,1587.9,1.7026
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000,C3,2086.2,950.98,1628.6,1.7125
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV,C3,2084.0,960.8,1627.45,1.6939
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_COV_NDCp,C3,2089.4,951.56,1657.54,1.7419
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000_NDCp,C3,2084.4,950.12,1610.34,1.6949
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f,C3,2081.6,966.49,1612.11,1.668
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV,C3,2082.4,974.73,1624.92,1.667
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_COV_NDCp,C3,2083.8,972.03,1638.15,1.6853
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_1000f_NDCp,C3,2081.9,965.48,1610.22,1.6678
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700,C3,2048.9,646.34,991.68,1.5343
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_700f,C3,2065.1,844.35,1338.58,1.5853
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800,C3,2054.9,747.29,1148.69,1.5371
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_800f,C3,2068.2,886.39,1408.06,1.5885
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900,C3,2072.8,850.64,1415.52,1.6641
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_900f,C3,2072.4,917.38,1475.33,1.6082
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_1000f_COV,C3,2094.7,951.01,1679.95,1.7665
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700,C3,2072.0,650.08,1158.76,1.7825
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_700f,C3,2072.5,724.69,1237.06,1.707
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800,C3,2084.6,749.11,1373.02,1.8329
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_800f,C3,2079.4,776.11,1351.62,1.7415
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_900f,C3,2089.9,850.24,1521.18,1.7891
REMIND-MAgPIE 2.1-4.2,NGFS2_Delayed Transition,C3,2060.8,777.49,1246.6,1.6034
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg1100,C3,2095.9,715.36,1426.51,1.9941
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1300,C3,2072.1,916.78,1477.81,1.612
REMIND-Transport 2.1,Transport_Budg1100_ConvSyn,C3,2078.8,734.42,1325.85,1.8053
WITCH 5.0,CO_2Deg2020,C3,2075.0,670.79,1003.72,1.4963
WITCH 5.0,CO_2Deg2030,C3,2065.4,738.64,1072.08,1.4514
