model,scenario,region,variable,unit,year,value
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|CO2,Mt CO2/yr,2090,-7625.2091
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|CO2,Mt CO2/yr,2100,-8840.4517
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2005,46144.6604
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2010,50781.0
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2015,53822.6196
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2020,54302.341
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2025,41203.9724
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2030,33153.084
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2035,25270.5533
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2040,18685.4697
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2045,13762.9399
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2050,9136.2214
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2055,6221.7702
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2060,3740.9913
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2070,518.7474
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2080,-1495.4063
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2090,-3259.3318
REMIND 2.1,R2p1_SSP1-PkBudg900,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2100,-5035.8989
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2005,33702.0617
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2010,37208.8436
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2015,38909.644
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2020,39302.4665
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2025,33471.9302
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2030,30732.6608
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2035,25412.1729
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2040,18045.938
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2045,11650.8724
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2050,5464.8787
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2055,2170.2118
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2060,189.0863
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2070,-592.316
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2080,-890.4959
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2090,-1800.2005
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|CO2,Mt CO2/yr,2100,-3491.4066
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2005,46144.6604
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2010,50781.0
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2015,53822.6196
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2020,54302.341
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2025,45023.9273
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2030,41163.9666
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2035,35145.3454
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2040,27304.0893
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2045,20489.6688
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2050,13918.1419
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2055,10656.9256
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2060,8605.9397
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2070,7473.3048
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2080,6596.6843
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2090,4998.8468
REMIND 2.1,R2p1_SSP5-PkBudg1100,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,2100,2809.7551
